id,size,name,mod_class
495,41.151077,"Cowper, Patricia Agnes",0
496,41.53477,"Chu, Vivian Hou",0
497,40.57554,"Corey, Gordon Ralph",6
498,40.767387,"Crowley, Anna Lisa Chamis",0
499,40.191845,"Holland, Thomas Lawrence",4
500,42.494003,"Samad, Zainab",0
501,40,"Morrison, Lake Daniel",5
502,40.383694,"Sundy, John Sargent",1
503,40,"Reed, Shelby Derene",1
504,41.53477,"Anthony, Kelly Kosobucki",5
505,40.57554,"Schanberg, Laura Eve",10
506,40.383694,"Bonner, Melanie Jean",1
507,41.342926,"Anton, James J.",5
508,41.53477,"Lewis, Tracy R.",5
509,42.110313,"Appelbaum, Lawrence Gregory",2
510,41.918465,"Woldorff, Marty G.",6
511,42.30216,"Applegate, Katherine Lynn",5
512,42.494003,"Grant, John Palmer",10
513,43.83693,"Friedman, Kelli E.",4
514,44.028778,"Portenier, Dana Dale",6
515,48.441246,"Aquino, Wilkins",1
516,40,"Arcasoy, Murat Osman",1
517,42.877697,"Boswell, Elizabeth Louise",1
518,40,"Wang, Endi",1
519,40.191845,"Arce, Ayana T",6
520,40,"Oh, Seog",6
521,40,"Kotwal, Ashutosh V.",6
522,40,"Goshaw, Alfred T.",6
523,40.191845,"Kruse, Mark Charles",6
524,42.494003,"Archer, Gerald Edward",2
525,42.685852,"Desjardins, Annick",1
526,40.57554,"Friedman, Henry Seth",1
527,40,"Sampson, John Howard",2
528,40.767387,"Nair, Smita Kesavan",2
529,41.342926,"Reap, Elizabeth",2
530,40,"Tedder, Thomas Fletcher",2
531,41.53477,"Dannull, Jens O.",2
532,44.220623,"Kuan, Chien-Tsun",2
533,40,"Weinhold, Kent James",2
534,40.57554,"Arcidiacono, Peter S.",12
535,40.767387,"Khan, Shakeeb",12
536,41.53477,"Vigdor, Jacob L.",12
537,41.342926,"Hotz, V. Joseph",12
538,40,"Arepally, Gowthami Morey",10
539,41.342926,"Wiesner, Mark",6
540,40,"Welsby, Ian James",10
541,40,"Palmer Jr., Scott Michael",1
542,40,"Ariely, Dan",10
543,41.53477,"Luce, Mary Frances",10
544,40,"Cohen, Harvey Jay",1
545,40.383694,"Whitson, Heather Elizabeth",8
546,40.191845,"Huber, Joel C.",11
547,41.918465,"Shah, Ankoor",10
548,40.191845,"Arlotto, Alessandro",5
549,50.55156,"Armaleo, Daniele",10
550,43.26139,"Lutzoni, Francois M.",6
551,43.069546,"Armstrong, Andrew John",1
552,47.482014,"Garcia-Blanco, Mariano Agustin",2
553,40,"Madden, John Francis",10
554,40.383694,"Freedland, Stephen Jay",6
555,43.26139,"Koontz, Bridget Fey",1
556,41.151077,"Lee, William Robert",1
557,40.767387,"Moul, Judd Wendell",1
558,40.191845,"Polascik, Thomas James",6
559,44.604317,"Robertson, Cary Nobles",1
560,40.383694,"Halabi, Susan",1
561,41.918465,"Zaas, David William",1
562,40.191845,"Jaffe, Tracy Anne",1
563,40.191845,"Armstrong, Brenda Estelle",4
564,40.383694,"Armstrong, Michael Brannon",2
565,41.151077,"Lavau, Catherine Praxede",2
566,40.767387,"Wechsler, Daniel Steven Gary",2
567,40.57554,"Armstrong, Sarah Commisso",10
568,40.191845,"Silberberg, Mina Ruth",8
569,40,"Kemper, Alex Randall",10
570,40.767387,"Ostbye, Truls",6
571,41.53477,"Mangarelli, Caren",10
572,41.151077,"Aronson, Solomon",0
573,40,"Babyak, Michael Alan",1
574,40,"Blumenthal, James Alan",1
575,40,"D'Amico, Thomas Anthony",0
576,40.959232,"Del Rio, Jose Mauricio",4
577,41.151077,"Gaca, Jeffrey Giles",0
578,40.191845,"Harpole Jr., David Harold",0
579,40.959232,"Hughes IV, George Charles",0
580,40.383694,"Lodge, Andrew James",0
581,41.72662,"Nicoara, Alina",0
582,45.947243,"Sketch Jr., Michael Hugh",0
583,40.191845,"Stafford-Smith, Mark",0
584,40.57554,"Strittmatter, Warren James",5
585,40.383694,"Swaminathan, Madhav",0
586,40,"Tong, Betty Caroline",0
587,41.151077,"Fontes, Manuel Lopes",0
588,40.383694,"Cherry, Anne",5
589,41.151077,"Arora, Ashish",11
590,40.767387,"Belenzon, Sharon",11
591,40,"Arshavsky, Vadim Yurjevich",2
592,40,"Farsiu, Sina",7
593,40.57554,"Caron, Marc G.",2
594,40.767387,"Rebrik, Tatiana I",5
595,40.191845,"Izatt, Joseph A.",7
596,41.53477,"Aryal, Shambhu",10
597,42.685852,"Asher, Steven R.",10
598,50.35971,"Ashley, Patricia Lynn",4
599,41.151077,"Bidegain, Margarita",0
600,41.342926,"Cotten, Charles Michael",6
601,42.685852,"Krishnan, K. Ranga Rama",6
602,40,"MacFall, James R.",1
603,41.918465,"Steffens, David Carl",6
604,41.72662,"Brummett, Beverly H.",6
605,40.767387,"Siegler, Ilene C.",6
606,40.57554,"Williams Jr., Redford B.",0
607,41.72662,"Miranda, Marie Lynn",5
608,40,"Swamy, Geeta Krishna",0
609,40,"De Castro, Laura Martina",10
610,40,"Telen, Marilyn Jo",2
611,40.191845,"Beyer, John Leslie",4
612,40,"Kuchibhatla, Maragatha",0
613,40.767387,"Lee, Tih-Shih Warren",6
614,40,"Fuemmeler, Bernard Frank",6
615,41.342926,"McClernon, Francis Joseph",6
616,40.57554,"Wang, Lihong",6
617,45.179855,"Payne, Martha Elizabeth",6
618,41.151077,"Hoyle, Rick",6
619,40.57554,"Richman, Laura Smart",6
620,41.342926,"Royal, Charmaine D. M.",6
621,40,"Dunson, David B.",6
622,40,"Enterline, David Scott",2
623,41.151077,"Fuchs, Herbert Edgar",2
624,40.767387,"Hauser, Elizabeth Rebecca",2
625,44.79616,"Ashton, Kathleen",4
626,40.57554,"Oermann, Marilyn Haag",12
627,52.278175,"Ashton, Robert H.",5
